Seed,Stations,Fails,Success,Colisions
0,1,0,26129,0.0
0,3,5765,26593,17.816305086840966
0,2,3372,26729,11.202285638350885
0,4,7649,26307,22.52621038991636
0,5,9114,26015,25.94437644111703
0,7,11882,25256,31.99418385481178
0,6,10666,25543,29.456764892706232
0,8,12811,25007,33.875403247131
0,9,13795,24700,35.8358228341343
0,10,14809,24441,37.72993630573249
128,1,0,26167,0.0
128,2,3288,26783,10.934122576568788
128,3,5679,26629,17.577689736288228
128,4,7732,26250,22.753222294155727
128,5,9328,25891,26.485703739458817
128,6,10610,25635,29.273003172851425
128,7,11780,25267,31.797446486895026
128,9,14124,24615,36.459382018121275
128,8,13172,24887,34.609422212880006
128,10,14740,24437,37.62411619062205
256,1,0,26159,0.0
256,2,3250,26805,10.81350856762602
256,3,5668,26667,17.5289933508582
256,4,7649,26311,22.523557126030624
256,5,9381,25846,26.630141652709572
256,7,11832,25291,31.872424103655415
256,6,10748,25543,29.616158276156625
256,8,12903,24954,34.083524843489975
256,9,13792,24774,35.762070217289846
256,10,14721,24475,37.55740381671599
384,1,0,26115,0.0
384,2,3394,26698,11.278745181443572
384,3,5759,26595,17.799962910304753
384,4,7758,26248,22.813621125683703
384,5,9327,25919,26.46257731373773
384,6,10855,25469,29.88382336747054
384,7,11613,25356,31.412805323379047
384,8,12979,24907,34.25803726970385
384,9,13915,24637,36.09410666113301
384,10,14663,24483,37.4572114647729
512,1,0,26149,0.0
512,2,3274,26806,10.884308510638299
512,3,5648,26667,17.4779514157512
512,4,7721,26271,22.714168039538716
512,5,9313,25898,26.449121013319697
512,7,11836,25278,31.890930646117365
512,6,10662,25588,29.412413793103447
512,8,12932,24951,34.13668400073912
512,9,13881,24685,35.9928434372245
512,10,14790,24380,37.75848863926474
123,3,57445,266004,17.760141475163007
